Title,Link,Location,Price,Information,Image,Detail,Brand
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-rajouri-garden-delhi-iid-1837077351?rank=39,Rajouri Garden,"₹ 7,40,000","2019 - 72,000 km",https://apollo.olx.in:443/v1/files/0yiemedpqeq2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Mercedes-Benz S-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-s-class-in-punjabi-bagh-west-delhi-iid-1834864248?rank=0,Punjabi Bagh West,"₹ 1,38,00,000","2023 - 12,000 km",https://apollo.olx.in:443/v1/files/i355lkdgj6232-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-pitampura-delhi-iid-1812014350?rank=1,Pitampura,"₹ 6,40,000","2017 - 90,000 km",https://apollo.olx.in:443/v1/files/l255s5sei1eu-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Mercedes-Benz GLA,https://www.olx.in/item/cars-c84-used-mercedes-benz-gla-in-punjabi-bagh-west-delhi-iid-1836688807?rank=2,Punjabi Bagh West,"₹ 42,00,000","2024 - 6,200 km",https://apollo.olx.in:443/v1/files/4dr78sfcqyj42-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-paschim-vihar-delhi-iid-1833886312?rank=3,Paschim Vihar,"₹ 18,00,000","2016 - 400,000 km",https://apollo.olx.in:443/v1/files/0k42887kzsjq1-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
BMW 7 Series,https://www.olx.in/item/cars-c84-used-bmw-7-series-in-rajouri-garden-delhi-iid-1836364955?rank=4,Rajouri Garden,"₹ 37,90,000","2016 - 55,000 km",https://apollo.olx.in:443/v1/files/nanch4yt8k82-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
BMW 5 Series,https://www.olx.in/item/cars-c84-used-bmw-5-series-in-paschim-vihar-delhi-iid-1836363991?rank=5,Paschim Vihar,"₹ 26,90,000","2018 - 38,000 km",https://apollo.olx.in:443/v1/files/w1m76v7294272-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
Skoda Octavia,https://www.olx.in/item/cars-c84-used-skoda-octavia-in-paschim-vihar-delhi-iid-1836175364?rank=6,Paschim Vihar,"₹ 22,45,000","2022 - 27,000 km",https://apollo.olx.in:443/v1/files/rgvlclaa72tp3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Maruti Suzuki S-Cross1,https://www.olx.in/item/cars-c84-used-maruti-suzuki-s-cross1-in-peera-garhi-delhi-iid-1802221393?rank=7,Peera Garhi,"₹ 4,25,000","2015 - 70,370 km",https://apollo.olx.in:443/v1/files/cerr0j3vd11r1-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Toyota Etios,https://www.olx.in/item/cars-c84-used-toyota-etios-in-raja-garden-delhi-iid-1836176633?rank=8,Raja Garden,"₹ 2,48,900","2014 - 66,631 km",https://apollo.olx.in:443/v1/files/fw4dmoiv5w2m3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Honda Amaze,https://www.olx.in/item/cars-c84-used-honda-amaze-in-tilak-nagar-delhi-iid-1836891483?rank=9,Tilak Nagar,"₹ 3,75,000","2017 - 72,000 km",https://apollo.olx.in:443/v1/files/f6vtbqpauztq2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Renault KWID,https://www.olx.in/item/cars-c84-used-renault-kwid-in-raja-garden-delhi-iid-1835050581?rank=10,Raja Garden,"₹ 1,99,999","2017 - 46,000 km",https://apollo.olx.in:443/v1/files/jvz6eodlmoti3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Renault KWID,https://www.olx.in/item/cars-c84-used-renault-kwid-in-paschim-vihar-delhi-iid-1831707817?rank=11,Paschim Vihar,"₹ 4,65,000","2020 - 99,000 km",https://apollo.olx.in:443/v1/files/uhlbbi65wqm62-IN/image;s=150x0;q=50;f=webp;,"LPG , Manual",maruti suzuki
Mahindra XUV700,https://www.olx.in/item/cars-c84-used-mahindra-xuv700-in-rajouri-garden-delhi-iid-1835231980?rank=12,Rajouri Garden,"₹ 11,20,000","2022 - 62,500 km",https://apollo.olx.in:443/v1/files/gcg6044leoo9-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Tata Nexon,https://www.olx.in/item/cars-c84-used-tata-nexon-in-rajouri-garden-delhi-iid-1835231475?rank=13,Rajouri Garden,"₹ 4,39,999","2018 - 52,000 km",https://apollo.olx.in:443/v1/files/viz1jam3py4l2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-vikaspuri-delhi-iid-1834871756?rank=14,Vikaspuri,"₹ 3,59,000","2016 - 64,000 km",https://apollo.olx.in:443/v1/files/r11dt2y3zhb03-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-ramesh-nagar-delhi-iid-1834871582?rank=15,Ramesh Nagar,"₹ 11,75,000","2021 - 64,000 km",https://apollo.olx.in:443/v1/files/yxhd3wv4is5q-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Mercedes-Benz E-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-e-class-in-rajouri-garden-delhi-iid-1836890911?rank=16,Rajouri Garden,"₹ 40,00,000","2021 - 80,000 km",https://apollo.olx.in:443/v1/files/5had5mqqcjtv1-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
Toyota Innova Crysta,https://www.olx.in/item/cars-c84-used-toyota-innova-crysta-in-rajouri-garden-delhi-iid-1834317454?rank=17,Rajouri Garden,"₹ 16,75,000","2021 - 59,000 km",https://apollo.olx.in:443/v1/files/y7x9ld5zszkl-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
Land Rover Range Rover Evoque,https://www.olx.in/item/cars-c84-used-land-rover-range-rover-evoque-in-vikaspuri-delhi-iid-1832613724?rank=18,Vikaspuri,"₹ 20,75,000","2018 - 89,000 km",https://apollo.olx.in:443/v1/files/prif1c6nz1h03-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
Mahindra Thar,https://www.olx.in/item/cars-c84-used-mahindra-thar-in-vikaspuri-delhi-iid-1835985504?rank=19,Vikaspuri,"₹ 11,50,000","2021 - 24,000 km",https://apollo.olx.in:443/v1/files/w6zlu7s0m431-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Mercedes-Benz C Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-c-class-in-rajouri-garden-delhi-iid-1825438684?rank=20,Rajouri Garden,"₹ 5,85,000","2012 - 90,000 km",https://apollo.olx.in:443/v1/files/y3npj8uw2dua1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
BMW 5 Series,https://www.olx.in/item/cars-c84-used-bmw-5-series-in-rajouri-garden-delhi-iid-1836525718?rank=21,Rajouri Garden,"₹ 27,45,000","2019 - 32,000 km",https://apollo.olx.in:443/v1/files/al9y80iks47j1-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
Maruti Suzuki Baleno,https://www.olx.in/item/cars-c84-used-maruti-suzuki-baleno-in-rajouri-garden-delhi-iid-1833009034?rank=22,Rajouri Garden,"₹ 7,25,000","2023 - 18,000 km",https://apollo.olx.in:443/v1/files/81aye78ccw7d1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
MG ASTOR,https://www.olx.in/item/cars-c84-used-mg-astor-in-punjabi-bagh-west-delhi-iid-1822321057?rank=23,Punjabi Bagh West,"₹ 10,99,000","2023 - 37,510 km",https://apollo.olx.in:443/v1/files/raia9tuhjsb52-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Tata Harrier,https://www.olx.in/item/cars-c84-used-tata-harrier-in-pitampura-delhi-iid-1835697767?rank=24,Pitampura,"₹ 12,50,000","2023 - 86,000 km",https://apollo.olx.in:443/v1/files/50tnty9wwsjr-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
Mahindra XUV 300,https://www.olx.in/item/cars-c84-used-mahindra-xuv-300-in-rajouri-garden-delhi-iid-1833512560?rank=25,Rajouri Garden,"₹ 6,70,000","2020 - 74,500 km",https://apollo.olx.in:443/v1/files/td7jhk99gprk1-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Volkswagen Vento,https://www.olx.in/item/cars-c84-used-volkswagen-vento-in-rohini-sector-2-delhi-iid-1834871634?rank=26,Rohini Sector 2,"₹ 1,75,000","2011 - 78,000 km",https://apollo.olx.in:443/v1/files/gwflkqrsznul1-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Toyota Corolla Altis,https://www.olx.in/item/cars-c84-used-toyota-corolla-altis-in-ramesh-nagar-delhi-iid-1834741125?rank=27,Ramesh Nagar,"₹ 5,95,000","2015 - 32,500 km",https://apollo.olx.in:443/v1/files/32l4z5j7ytjt3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Toyota Corolla Altis,https://www.olx.in/item/cars-c84-used-toyota-corolla-altis-in-ramesh-nagar-delhi-iid-1834742540?rank=28,Ramesh Nagar,"₹ 1,94,500","2011 - 93,100 km",https://apollo.olx.in:443/v1/files/1fkfev6z9kcq1-IN/image;s=150x0;q=50;f=webp;,"CNG & Hybrids , Manual",maruti suzuki
Hyundai Verna,https://www.olx.in/item/cars-c84-used-hyundai-verna-in-ramesh-nagar-delhi-iid-1834741362?rank=29,Ramesh Nagar,"₹ 3,95,000","2016 - 79,500 km",https://apollo.olx.in:443/v1/files/2qihxikjq9yc3-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-rajouri-garden-delhi-iid-1837077682?rank=30,Rajouri Garden,"₹ 7,35,000","2019 - 72,000 km",https://apollo.olx.in:443/v1/files/wvn5eo951oor2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-pitampura-delhi-iid-1830912548?rank=31,Pitampura,"₹ 18,00,000","2016 - 400,000 km",https://apollo.olx.in:443/v1/files/55o1bnmmfgc32-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-ramesh-nagar-delhi-iid-1836570581?rank=32,Ramesh Nagar,"₹ 6,75,000","2018 - 61,200 km",https://apollo.olx.in:443/v1/files/a5dbn48x2jrg-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Mahindra XUV500,https://www.olx.in/item/cars-c84-used-mahindra-xuv500-in-ramesh-nagar-delhi-iid-1836671262?rank=33,Ramesh Nagar,"₹ 4,19,500","2016 - 99,500 km",https://apollo.olx.in:443/v1/files/c5p96ap9war23-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-ramesh-nagar-delhi-iid-1836671535?rank=34,Ramesh Nagar,"₹ 7,51,000","2020 - 91,800 km",https://apollo.olx.in:443/v1/files/rqvq70gkicp-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Honda City,https://www.olx.in/item/cars-c84-used-honda-city-in-ramesh-nagar-delhi-iid-1836673135?rank=35,Ramesh Nagar,"₹ 6,45,000","2017 - 69,900 km",https://apollo.olx.in:443/v1/files/p4pk694l2oxl2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
MG Hector,https://www.olx.in/item/cars-c84-used-mg-hector-in-ramesh-nagar-delhi-iid-1836840754?rank=36,Ramesh Nagar,"₹ 8,95,000","2021 - 74,500 km",https://apollo.olx.in:443/v1/files/978g0zt1x9qs-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Mahindra XUV 300,https://www.olx.in/item/cars-c84-used-mahindra-xuv-300-in-ramesh-nagar-delhi-iid-1836840823?rank=37,Ramesh Nagar,"₹ 6,51,000","2020 - 74,300 km",https://apollo.olx.in:443/v1/files/mf6cwp9alhv73-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-pitampura-delhi-iid-1833926067?rank=38,Pitampura,"₹ 18,00,000","2016 - 400,000 km",https://apollo.olx.in:443/v1/files/krk9gr392sgu2-IN/image;s=150x0;q=50;f=webp;,"Diesel , Manual",maruti suzuki
Kia Seltos,https://www.olx.in/item/cars-c84-used-kia-seltos-in-rajouri-garden-delhi-iid-1837077351?rank=39,Rajouri Garden,"₹ 7,40,000","2019 - 72,000 km",https://apollo.olx.in:443/v1/files/0yiemedpqeq2-IN/image;s=150x0;q=50;f=webp;,"Petrol , Manual",maruti suzuki
Mercedes-Benz S-Class,https://www.olx.in/item/cars-c84-used-mercedes-benz-s-class-in-punjabi-bagh-west-delhi-iid-1834864248?rank=0,Punjabi Bagh West,"₹ 1,38,00,000","2023 - 12,000 km",https://apollo.olx.in:443/v1/files/i355lkdgj6232-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Hyundai Creta,https://www.olx.in/item/cars-c84-used-hyundai-creta-in-pitampura-delhi-iid-1812014350?rank=1,Pitampura,"₹ 6,40,000","2017 - 90,000 km",https://apollo.olx.in:443/v1/files/l255s5sei1eu-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Mercedes-Benz GLA,https://www.olx.in/item/cars-c84-used-mercedes-benz-gla-in-punjabi-bagh-west-delhi-iid-1836688807?rank=2,Punjabi Bagh West,"₹ 42,00,000","2024 - 6,200 km",https://apollo.olx.in:443/v1/files/4dr78sfcqyj42-IN/image;s=150x0;q=50;f=webp;,"Petrol , Automatic",maruti suzuki
Ford Endeavour,https://www.olx.in/item/cars-c84-used-ford-endeavour-in-paschim-vihar-delhi-iid-1833886312?rank=3,Paschim Vihar,"₹ 18,00,000","2016 - 400,000 km",https://apollo.olx.in:443/v1/files/0k42887kzsjq1-IN/image;s=150x0;q=50;f=webp;,"Diesel , Automatic",maruti suzuki
